Titre,Price,Localisation,Size,Nb_pieces,Nb_chambre,Nb_Salles_bain,Etat,Old,Etage,Caracteristiques_supplementaires,URL
Tres bel appartement les pieds dans l eau,12 000 DH,"Achakar à
							
							Tanger","154
					m²",2 Pièces,2 Chambres,2 Salles de bains,Nouveau,1-5 ans,,|Meublé|Terrasse|Garage|Ascenseur|Piscine|Jardin|Concierge|Vue sur mer|Chambre rangement|Salon européen|Climatisation|Antenne parabolique|Sécurité|Marbre|Cuisine équipée|Four|Machine à laver|Micro-ondes|Réfrigérateur|TV|Internet,https://www.mubawab.ma/fr/a/6898936/tres-bel-appartement-les-pieds-dans-l-eau
Location d'un appartement à Tanger. 2 chambres agréables. Meublé.,3 000 DH,"Boukhalef à
							
							Tanger","57
					m²",3 Pièces,2 Chambres,1 Salle de bain,Bon état,1-5 ans,"2ème
					étage",|Meublé|Garage|Concierge|Salon Marocain|Antenne parabolique|Sécurité|Porte blindée|Carrelage|Cuisine équipée|Four|Machine à laver|Réfrigérateur|TV,https://www.mubawab.ma/fr/a/6898829/location-d-un-appartement-%C3%A0-tanger-2-chambres-agr%C3%A9ables-meubl%C3%A9-
Louez cet appartement en Centre. Surface de 160 m². Sécurisé 24/24.,8 000 DH,"Centre à
							
							Tanger","160
					m²",4 Pièces,3 Chambres,3 Salles de bains,Bon état,10-20 ans,"6ème
					étage",|Ascenseur|Sécurité|Réfrigérateur,https://www.mubawab.ma/fr/a/6898783/louez-cet-appartement-en-centre-surface-de-160-m%C2%B2-s%C3%A9curis%C3%A9-24-24-
"Location Appartement 126 m² Route de Rabat, Tanger Ref: LA537",7 000 DH,Tanger,"126
					m²",4 Pièces,3 Chambres,2 Salles de bains,"126
					m²",,,|Meublé|Ascenseur|Sécurité|Cuisine équipée|Machine à laver|Micro-ondes|Réfrigérateur|TV,https://www.mubawab.ma/fr/a/6898033/location-appartement-126-m%C2%B2-route-de-rabat-tanger-ref-la537
Location d'un appartement à Iberie. Surface de 128 m². Meublé,7 500 DH,"Iberie à
							
							Tanger","128
					m²",2 Pièces,3 Chambres,2 Salles de bains,Nouveau,,"2ème
					étage",|Meublé|Terrasse|Ascenseur|Concierge|Salon Marocain,https://www.mubawab.ma/fr/a/6898003/location-d-un-appartement-%C3%A0-iberie-surface-de-128-m%C2%B2-meubl%C3%A9
Vend appartement à Zemmouri. 3 chambres. Salon Marocain et antenne parabolique,6 000 DH,"Zemmouri à
							
							Tanger","116
					m²",2 Pièces,3 Chambres,2 Salles de bains,Bon état,1-5 ans,,|Meublé|Terrasse|Garage|Ascenseur|Concierge|Salon Marocain|Salon européen|Chauffage central|Double vitrage|Antenne parabolique|Sécurité|Carrelage|Cuisine équipée|Four|Machine à laver|Réfrigérateur|TV,https://www.mubawab.ma/fr/a/6897843/vend-appartement-%C3%A0-zemmouri-3-chambres-salon-marocain-et-antenne-parabolique
Appartement meublé à la location longue durée,11 000 DH,"Centre à
							
							Tanger","130
					m²",6 Pièces,3 Chambres,,,,,|Meublé|Terrasse|Garage,https://www.mubawab.ma/fr/a/6287591/appartement-meubl%C3%A9-%C3%A0-la-location-longue-dur%C3%A9e
Un coquet appartement à louer Cap Tingis,13 000 DH,"Malabata à
							
							Tanger","140
					m²",4 Pièces,2 Chambres,,,,,|Meublé|Terrasse|Garage|Piscine|Jardin|Salon européen,https://www.mubawab.ma/fr/a/6382730/un-coquet-appartement-%C3%A0-louer-cap-tingis
Appartement vide à la location,12 000 DH,Tanger,"180
					m²",6 Pièces,3 Chambres,2 Salles de bains,Bon état,,,|Terrasse|Garage|Climatisation,https://www.mubawab.ma/fr/a/6661110/appartement-vide-%C3%A0-la-location
Superbe appartement à louer en Centre. Surface de 60 m². Résidence sécurisée.,"600 DH
											par jour","Centre à
							
							Tanger","60
					m²",3 Pièces,2 Chambres,1 Salle de bain,Bon état,5-10 ans,"3ème
					étage",|Vue sur mer|Sécurité|TV,https://www.mubawab.ma/fr/a/6896078/superbe-appartement-%C3%A0-louer-en-centre-surface-de-60-m%C2%B2-r%C3%A9sidence-s%C3%A9curis%C3%A9e-
Appartement situé au centre ville,6 000 DH,"Msala à
							
							Tanger","118
					m²",4 Pièces,3 Chambres,2 Salles de bains,Bon état,20-30 ans,"3ème
					étage",|Meublé|Terrasse|Ascenseur|Concierge|Vue sur mer|Salon européen|Chauffage central|Antenne parabolique|Carrelage|Cuisine équipée|Four|Machine à laver|Micro-ondes|Réfrigérateur|TV,https://www.mubawab.ma/fr/a/6895794/appartement-situ%C3%A9-au-centre-ville
Bel appartement en location en Centre. 1 Pièce. Connexion Internet.,,"Centre à
							
							Tanger","75
					m²",3 Pièces,2 Chambres,1 Salle de bain,Bon état,5-10 ans,"1er
					étage",|Ascenseur|Salon Marocain|Marbre|Internet,https://www.mubawab.ma/fr/a/6894865/bel-appartement-en-location-en-centre-1-pi%C3%A8ce-connexion-internet-
Appartement haut standing à Iberia Tanger,15 000 DH,"Iberie à
							
							Tanger","230
					m²",10 Pièces,3 Chambres,2 Salles de bains,Bon état,5-10 ans,"7ème
					étage",|Meublé|Terrasse|Garage|Ascenseur|Concierge|Vue sur mer|Chambre rangement|Salon Marocain|Salon européen|Climatisation|Antenne parabolique|Sécurité|Carrelage|Cuisine équipée|Four|Machine à laver|Micro-ondes|Réfrigérateur|TV|Internet,https://www.mubawab.ma/fr/a/6894137/appartement-haut-standing-%C3%A0-iberia-tanger
Location d'un appartement à Tanger. 3 grandes pièces. Bien meublé.,2 000 DH,"Tanja Balia à
							
							Tanger","56
					m²",3 Pièces,2 Chambres,1 Salle de bain,Nouveau,1-5 ans,,|Meublé|Salon Marocain|Chauffage central|Sécurité|Marbre|Four|Machine à laver|Réfrigérateur|TV|Internet,https://www.mubawab.ma/fr/a/6892806/location-d-un-appartement-%C3%A0-tanger-3-grandes-pi%C3%A8ces-bien-meubl%C3%A9-
Superbe appartement à louer à Tanger. 3 pièces.,4 500 DH,"Achennad à
							
							Tanger","70
					m²",3 Pièces,1 Chambre,1 Salle de bain,Nouveau,5-10 ans,,,https://www.mubawab.ma/fr/a/6891843/superbe-appartement-%C3%A0-louer-%C3%A0-tanger-3-pi%C3%A8ces-
Appartement à louer meublee,8 000 DH,"Malabata à
							
							Tanger","90
					m²",3 Pièces,2 Chambres,2 Salles de bains,"8ème
					étage",,,|Meublé|Garage,https://www.mubawab.ma/fr/a/6891466/appartement-%C3%A0-louer-meublee
Appartement meublee à louer tanger,11 500 DH,"Malabata à
							
							Tanger","100
					m²",3 Pièces,2 Chambres,2 Salles de bains,"10ème
					étage",,,|Meublé|Garage,https://www.mubawab.ma/fr/a/6891465/appartement-meublee-%C3%A0-louer-tanger
Location d'un appartement à Port Tanger ville. 3 pièces. Avec ascenseur et terrasse.,4 000 DH,"Port Tanger ville à
							
							Tanger","98
					m²",3 Pièces,1 Chambre,1 Salle de bain,Bon état,5-10 ans,"7ème
					étage",|Terrasse|Ascenseur|Concierge|Four|Machine à laver|Micro-ondes|Réfrigérateur|TV,https://www.mubawab.ma/fr/a/6891238/location-d-un-appartement-%C3%A0-port-tanger-ville-3-pi%C3%A8ces-avec-ascenseur-et-terrasse-
Appartement meublee en location a tanger,13 000 DH,"Malabata à
							
							Tanger","103
					m²",3 Pièces,2 Chambres,2 Salles de bains,"4ème
					étage",,,|Garage,https://www.mubawab.ma/fr/a/6891207/appartement-meublee-en-location-a-tanger
"Appartement 220m², Meublé, à Iberia",12 500 DH,"Iberie à
							
							Tanger","220
					m²",6 Pièces,3 Chambres,3 Salles de bains,Bon état,,,|Meublé|Garage|Ascenseur|Concierge|Vue sur mer|Chambre rangement|Salon Marocain|Salon européen|Climatisation|Antenne parabolique|Cheminée|Sécurité|Porte blindée|Carrelage|Cuisine équipée|Four|Machine à laver|Micro-ondes|Réfrigérateur|TV|Internet,https://www.mubawab.ma/fr/a/6832523/appartement-220m%C2%B2-meubl%C3%A9-%C3%A0-iberia
Appartement meublé à la location,10 500 DH,"Centre à
							
							Tanger","130
					m²",4 Pièces,2 Chambres,1 Salle de bain,Bon état,,,|Meublé|Garage,https://www.mubawab.ma/fr/a/6809040/appartement-meubl%C3%A9-%C3%A0-la-location
Appartement vide à la location,8 000 DH,"Centre à
							
							Tanger","160
					m²",6 Pièces,3 Chambres,1 Salle de bain,Bon état,,,|Terrasse|Garage|Cheminée,https://www.mubawab.ma/fr/a/6800911/appartement-vide-%C3%A0-la-location
Belle chambre à louer à Beni Touzine. Surface totale 65 m².,1 300 DH,"Beni Touzine à
							
							Tanger","65
					m²",,,,,,,,https://www.mubawab.ma/fr/a/6890485/belle-chambre-%C3%A0-louer-%C3%A0-beni-touzine-surface-totale-65-m%C2%B2-
Chambre à louer à Beni Touzine. Surface totale 65 m².,1 300 DH,"Beni Touzine à
							
							Tanger","65
					m²",,,,,,,,https://www.mubawab.ma/fr/a/6890480/chambre-%C3%A0-louer-%C3%A0-beni-touzine-surface-totale-65-m%C2%B2-
Appartement Imane,600 EUR,"Centre à
							
							Tanger","63
					m²",,,,,,,|Meublé|Terrasse|Cuisine équipée,https://www.mubawab.ma/fr/a/6889136/appartement-imane
Appartement à louer en Centre. 3 belles chambres. Salon traditionnel et système d'antenne parabolique.,"600 DH
											par jour","Centre à
							
							Tanger","150
					m²",5 Pièces,3 Chambres,1 Salle de bain,Nouveau,10-20 ans,"7ème
					étage",|Terrasse|Ascenseur|Concierge|Salon Marocain|Double vitrage|Antenne parabolique|Parquet|Machine à laver|TV,https://www.mubawab.ma/fr/a/6888925/appartement-%C3%A0-louer-en-centre-3-belles-chambres-salon-traditionnel-et-syst%C3%A8me-d-antenne-parabolique-
Louez cet appartement à Dher Lahmam. 1 Pièce. Salon marocain traditionnel.,3 000 DH,"Dher Lahmam à
							
							Tanger","80
					m²",3 Pièces,2 Chambres,1 Salle de bain,Bon état,10-20 ans,"2ème
					étage",|Salon Marocain|Four|Machine à laver|Réfrigérateur|TV,https://www.mubawab.ma/fr/a/6888570/louez-cet-appartement-%C3%A0-dher-lahmam-1-pi%C3%A8ce-salon-marocain-traditionnel-
Location d'un appartement en Centre. 1 Pièce. Salon Marocain et antenne parabolique.,4 300 DH,"Centre à
							
							Tanger","100
					m²",3 Pièces,2 Chambres,1 Salle de bain,Bon état,5-10 ans,"3ème
					étage",|Ascenseur|Concierge|Chambre rangement|Salon Marocain|Double vitrage|Antenne parabolique|Porte blindée|Cuisine équipée|Machine à laver|Réfrigérateur|TV,https://www.mubawab.ma/fr/a/6888165/location-d-un-appartement-en-centre-1-pi%C3%A8ce-salon-marocain-et-antenne-parabolique-
Vente d'un bel appartement à Administratif. 2 grandes pièces. Frigo.,3 500 DH,"Administratif à
							
							Tanger","80
					m²",2 Pièces,2 Chambres,1 Salle de bain,Nouveau,,,|Salon Marocain|Double vitrage|Cuisine équipée|Machine à laver|Réfrigérateur,https://www.mubawab.ma/fr/a/6887885/vente-d-un-bel-appartement-%C3%A0-administratif-2-grandes-pi%C3%A8ces-frigo-
Appartement de 3 chambres corniche de tanger,7 500 DH,"De La Plage à
							
							Tanger","140
					m²",4 Pièces,3 Chambres,2 Salles de bains,Bon état,10-20 ans,"7ème
					étage",|Meublé|Garage|Ascenseur|Concierge|Vue sur mer|Chambre rangement|Salon Marocain|Climatisation|Antenne parabolique|Carrelage|Cuisine équipée|Four|Machine à laver|Micro-ondes|Réfrigérateur,https://www.mubawab.ma/fr/a/6886062/appartement-de-3-chambres-corniche-de-tanger
Appartement meublé à loouer,6 000 DH,"Marjane à
							
							Tanger","94
					m²",3 Pièces,2 Chambres,2 Salles de bains,Bon état,5-10 ans,"4ème
					étage",|Meublé|Terrasse|Ascenseur|Jardin|Salon Marocain|Antenne parabolique|Sécurité|Carrelage|Cuisine équipée|Machine à laver|Micro-ondes|TV|Internet,https://www.mubawab.ma/fr/a/6885968/appartement-meubl%C3%A9-%C3%A0-loouer
Appartement pour une petite famille secteur ahlane,2 500 DH,"Ahlane à
							
							Tanger","100
					m²",4 Pièces,2 Chambres,1 Salle de bain,Nouveau,1-5 ans,"3ème
					étage",,https://www.mubawab.ma/fr/a/6885835/appartement-pour-une-petite-famille-secteur-ahlane
Appartement non meublé à coté de ria d tétouane,3 000 DH,"Centre à
							
							Tanger","80
					m²",3 Pièces,2 Chambres,1 Salle de bain,Bon état,10-20 ans,"4ème
					étage",|Garage|Ascenseur|Concierge|Antenne parabolique|Porte blindée|Carrelage,https://www.mubawab.ma/fr/a/6885826/appartement-non-meubl%C3%A9-%C3%A0-cot%C3%A9-de-ria-d-t%C3%A9touane
Quartier playa beau retrait 2/3 chambres,8 000 DH,"De La Plage à
							
							Tanger","160
					m²",4 Pièces,3 Chambres,2 Salles de bains,Bon état,5-10 ans,"8ème
					étage",|Terrasse|Garage|Ascenseur|Concierge|Vue sur les montagnes|Carrelage|Four|Réfrigérateur,https://www.mubawab.ma/fr/a/6885533/quartier-playa-beau-retrait-2-3-chambres
Superbe appartement à louer à Branes 2. Surface totale 120 m². Bien meublé,5 000 DH,"Branes 2 à
							
							Tanger","120
					m²",4 Pièces,2 Chambres,1 Salle de bain,Bon état,5-10 ans,"1er
					étage",|Meublé|Concierge|Salon Marocain|Salon européen|Antenne parabolique|Sécurité|Carrelage|Cuisine équipée|Four|Machine à laver|Micro-ondes|Réfrigérateur|TV,https://www.mubawab.ma/fr/a/6885385/superbe-appartement-%C3%A0-louer-%C3%A0-branes-2-surface-totale-120-m%C2%B2-bien-meubl%C3%A9
Studio Appartement à louer à Branes 2.1 Pièce. Bien meublé,2 500 DH,"Branes 2 à
							
							Tanger","60
					m²",2 Pièces,1 Chambre,1 Salle de bain,Bon état,5-10 ans,"5ème
					étage",|Meublé|Terrasse|Concierge|Salon européen|Antenne parabolique|Sécurité|Carrelage|Cuisine équipée|Four|Machine à laver|Réfrigérateur|TV,https://www.mubawab.ma/fr/a/6885373/studio-appartement-%C3%A0-louer-%C3%A0-branes-2-1-pi%C3%A8ce-bien-meubl%C3%A9
Moujahidine apt 172 m2 dans res neuve vue degagee,12 000 DH,"Moujahidine à
							
							Tanger","172
					m²",5 Pièces,4 Chambres,4 Salles de bains,Bon état,1-5 ans,"1er
					étage",|Meublé|Terrasse|Garage|Concierge|Vue sur les montagnes|Chambre rangement|Salon européen|Climatisation|Carrelage|Cuisine équipée|TV,https://www.mubawab.ma/fr/a/6884577/moujahidine-apt-172-m2-dans-res-neuve-vue-degagee
Superbe appartement à vendre à Tanger. 2 chambres.,1 300 DH,"El Mers 1 à
							
							Tanger","56
					m²",3 Pièces,2 Chambres,1 Salle de bain,Bon état,,,,https://www.mubawab.ma/fr/a/6884373/superbe-appartement-%C3%A0-vendre-%C3%A0-tanger-2-chambres-
Boubana grand appartement meuble,10 000 DH,"Du Golf à
							
							Tanger","160
					m²",4 Pièces,3 Chambres,2 Salles de bains,Bon état,5-10 ans,,|Meublé|Garage|Concierge|Salon européen|Climatisation|Cheminée|Carrelage|Cuisine équipée,https://www.mubawab.ma/fr/a/6884080/boubana-grand-appartement-meuble
Location Appartement 70 m² CORNICHE Tanger Ref: LA101,7 000 DH,"Tanger City Center à
							
							Tanger","70
					m²",3 Pièces,2 Chambres,2 Salles de bains,"70
					m²",,,|Sécurité|Machine à laver|Réfrigérateur|TV,https://www.mubawab.ma/fr/a/6883535/location-appartement-70-m%C2%B2-corniche-tanger-ref-la101
"Location Appartement 60 m², IBERIA Tanger Ref: LA103",6 000 DH,"Iberie à
							
							Tanger","60
					m²",3 Pièces,2 Chambres,1 Salle de bain,"60
					m²",,,|Sécurité|Machine à laver|Micro-ondes|Réfrigérateur|TV,https://www.mubawab.ma/fr/a/6883533/location-appartement-60-m%C2%B2-iberia-tanger-ref-la103
Location Appartement 120 m² BELLA VISTA Tanger Ref: LA106,13 000 DH,"Bella Vista à
							
							Tanger","120
					m²",4 Pièces,3 Chambres,2 Salles de bains,"120
					m²",,,|Meublé|Garage|Piscine|Jardin|Sécurité|Machine à laver|Micro-ondes|Réfrigérateur|TV,https://www.mubawab.ma/fr/a/6883530/location-appartement-120-m%C2%B2-bella-vista-tanger-ref-la106
Location Appartement 100 m² CAP MALABATA Tanger Ref: LA127,12 000 DH,"Malabata à
							
							Tanger","100
					m²",3 Pièces,2 Chambres,1 Salle de bain,"100
					m²",,,|Garage|Piscine|Jardin|Sécurité|Cuisine équipée|Machine à laver|Micro-ondes|Réfrigérateur|TV,https://www.mubawab.ma/fr/a/6883511/location-appartement-100-m%C2%B2-cap-malabata-tanger-ref-la127
Location Appartement 100 m² MALABATA Tanger Ref: LA163,10 000 DH,"Malabata à
							
							Tanger","100
					m²",3 Pièces,2 Chambres,2 Salles de bains,"100
					m²",,,|Garage|Jardin|Sécurité|Cuisine équipée|Machine à laver|Micro-ondes|Réfrigérateur|TV,https://www.mubawab.ma/fr/a/6883473/location-appartement-100-m%C2%B2-malabata-tanger-ref-la163
Location Appartement 100 m² CHARF Tanger Ref: LA177,7 500 DH,"Charf à
							
							Tanger","100
					m²",3 Pièces,2 Chambres,2 Salles de bains,"100
					m²",,,|Meublé|Terrasse|Sécurité|Cuisine équipée|Machine à laver|Micro-ondes|Réfrigérateur|TV,https://www.mubawab.ma/fr/a/6883459/location-appartement-100-m%C2%B2-charf-tanger-ref-la177
Location Appartement 130 m² QUARTIER HÔPITAL ESPAGNOL Tanger Ref: LA17,8 000 DH,"Iberie à
							
							Tanger","130
					m²",5 Pièces,3 Chambres,2 Salles de bains,"130
					m²",,,|Meublé|Garage|Sécurité|Cuisine équipée|Machine à laver|Micro-ondes|Réfrigérateur|TV,https://www.mubawab.ma/fr/a/6883458/location-appartement-130-m%C2%B2-quartier-h%C3%B4pital-espagnol-tanger-ref-la17
Location Appartement 120 m² NEJMA Tanger Ref: LA185,11 000 DH,"Centre à
							
							Tanger","120
					m²",3 Pièces,2 Chambres,1 Salle de bain,"120
					m²",,,|Meublé|Terrasse|Garage|Climatisation|Sécurité|Cuisine équipée|Machine à laver|Micro-ondes|Réfrigérateur|TV,https://www.mubawab.ma/fr/a/6883451/location-appartement-120-m%C2%B2-nejma-tanger-ref-la185
Location Appartement 129 m² CAP TINGIS Tanger Ref: LA222,15 000 DH,"Centre à
							
							Tanger","129
					m²",3 Pièces,2 Chambres,2 Salles de bains,"129
					m²",,,|Terrasse|Garage|Piscine|Jardin|Vue sur mer|Sécurité|Cuisine équipée|Machine à laver|Micro-ondes|Réfrigérateur|TV,https://www.mubawab.ma/fr/a/6883418/location-appartement-129-m%C2%B2-cap-tingis-tanger-ref-la222
Location Appartement 83 m² ROUTE DE RABAT Tanger Ref: LA234,6 000 DH,Tanger,"83
					m²",3 Pièces,2 Chambres,1 Salle de bain,Bon état,,,|Garage|Cuisine équipée,https://www.mubawab.ma/fr/a/6883407/location-appartement-83-m%C2%B2-route-de-rabat-tanger-ref-la234
Location Appartement 78 m² ROUTE DE RABAT Tanger,5 500 DH,Tanger,"78
					m²",3 Pièces,2 Chambres,2 Salles de bains,Bon état,,,|Meublé|Climatisation|Cuisine équipée,https://www.mubawab.ma/fr/a/6883406/location-appartement-78-m%C2%B2-route-de-rabat-tanger
Location Appartement 80 m² ROUTE DE RABAT Tanger,4 500 DH,"Du Golf à
							
							Tanger","80
					m²",3 Pièces,1 Chambre,1 Salle de bain,Bon état,,,|Meublé|Cuisine équipée,https://www.mubawab.ma/fr/a/6883404/location-appartement-80-m%C2%B2-route-de-rabat-tanger
Location Appartement 90 m² CENTRE VILLE Tanger,7 500 DH,"Centre à
							
							Tanger","90
					m²",3 Pièces,2 Chambres,1 Salle de bain,Bon état,,,|Meublé|Sécurité|Cuisine équipée,https://www.mubawab.ma/fr/a/6883403/location-appartement-90-m%C2%B2-centre-ville-tanger
Location Appartement 80 m² CORNICHE Tanger,6 500 DH,"Malabata à
							
							Tanger","80
					m²",4 Pièces,2 Chambres,1 Salle de bain,Bon état,,,|Sécurité|Cuisine équipée,https://www.mubawab.ma/fr/a/6883397/location-appartement-80-m%C2%B2-corniche-tanger
Location Appartement 90 m² BOULEVARD PASTEUR Tanger,6 500 DH,Tanger,"90
					m²",3 Pièces,2 Chambres,2 Salles de bains,Bon état,,,|Meublé|Sécurité,https://www.mubawab.ma/fr/a/6883395/location-appartement-90-m%C2%B2-boulevard-pasteur-tanger
Location Appartement 100 m² PLAYA Tanger,12 000 DH,"Malabata à
							
							Tanger","100
					m²",3 Pièces,2 Chambres,1 Salle de bain,Bon état,,,|Cuisine équipée,https://www.mubawab.ma/fr/a/6883394/location-appartement-100-m%C2%B2-playa-tanger
